日付,バット,利き腕,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,バットスピード (km/h),体の回転によるバットの加速の大きさ（初動） (G),オンプレーンの効率 (%),アッパースイング度 (°), 体とバットの角度（構え） (°), 体とバットの角度（インパクト） (°), バット角度 (°),パワー (kW),スイング時間 (秒),手の最大スピード (km/h),打球スピード (km/h),打球角度 (°),推定飛距離 (m),ExitVelocity,PitchBallVelocity,LaunchAngle,ExitDirection,Spin,Distance,SpinDirection,SpinConfidence,StrikeZoneX,StrikeZoneY,Contact Depth,BatName,SerialNumber,Unique ID,Video Url,Session Name,Player Name,DateTime
2025年 2月 4日 火曜日 13:00:36,baseball bat,右,General Practice,52,64,69,91.1,17.1,68,7,99,94,-33,3.14,0.13,30.4,,,,117.8,77.8,30.6,9.1,1236.52758789063,81.3,10:52:00,1.0,18.6,51.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:00:27,baseball bat,右,General Practice,50,63,80,93.7,22.2,66,10,99,94,-25,3.22,0.13,32.8,,,,130.4,77.8,12.6,2.8,1476.41870117188,67.2,11:18:00,1.0,11.7,71.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:00:19,baseball bat,右,General Practice,54,79,79,91.7,20.9,70,4,94,90,-34,3.24,0.13,32.2,,,,115.4,77.8,20.5,15.2,849.190734863281,64.8,09:56:00,1.0,13.0,83.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:00:10,baseball bat,右,General Practice,53,64,77,94.0,20.3,69,3,99,94,-35,3.34,0.13,32.8,,,,141.1,77.8,14.6,8.5,339.195159912109,63.5,10:14:00,1.0,17.0,56.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 13:00:01,baseball bat,右,General Practice,52,75,80,92.7,23.7,68,8,95,91,-28,3.3,0.13,33.0,,,,94.2,79.4,44.6,-79.3,1375.15161132813,56.7,01:50:00,1.0,-41.9,103.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:59:44,baseball bat,右,General Practice,53,56,80,83.8,24.2,69,4,103,96,-23,2.75,0.13,33.6,,,,140.9,79.4,20.3,-3.9,1684.53076171875,76.6,09:32:00,1.0,-4.5,61.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:59:35,baseball bat,右,General Practice,50,59,80,90.9,21.7,66,6,102,94,-29,3.13,0.13,32.8,,,,146.9,77.8,15.2,-25.2,3085.83959960938,68.5,10:00:00,1.0,-9.1,63.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:59:26,baseball bat,右,General Practice,51,62,80,87.4,21.9,67,7,100,94,-27,2.85,0.13,32.0,,,,137.9,79.9,11.8,5.1,1313.076171875,60.0,02:02:00,1.0,5.8,55.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:59:17,baseball bat,右,General Practice,54,71,80,90.0,24.5,70,7,97,92,-26,3.17,0.13,34.3,,,,104.9,75.6,39.7,-2.6,911.655456542969,70.1,11:32:00,1.0,-2.4,54.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:59:07,baseball bat,右,General Practice,48,48,80,88.2,25.9,63,8,108,99,-28,2.94,0.13,34.8,,,,157.2,77.8,5.2,-25.4,9.99999974737875e-06,38.0,00:00:00,0.5,-26.7,103.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:58:58,baseball bat,右,General Practice,50,55,79,93.5,21.1,66,4,103,96,-38,3.26,0.13,34.4,,,,124,75.6,5.8,-11.1,2662.45336914063,43.4,01:20:00,1.0,13.7,87.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:58:48,baseball bat,右,General Practice,54,49,80,90.9,21.3,70,-1,107,99,-38,3.18,0.13,33.3,,,,124,75.6,25.7,-24.3,3013.93872070313,82.0,01:06:00,1.0,-11.9,59.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:58:40,baseball bat,右,General Practice,54,55,80,90.3,21.8,70,4,104,96,-32,3.19,0.13,34.6,,,,136.6,77.8,14.6,-2.4,135.088134765625,62.7,00:18:00,1.0,1.4,55.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:58:32,baseball bat,右,General Practice,45,52,80,90.8,23.7,61,9,108,95,-28,3.03,0.13,35.1,,,,124.3,79.5,26.1,2.0,3340.97045898438,84.0,11:06:00,1.0,2.8,38.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:58:07,baseball bat,右,General Practice,59,65,77,83.2,20.3,76,-13,100,90,-19,2.75,0.12,36.4,,,,146,79.9,11.4,-2.2,1260.47766113281,61.2,10:48:00,1.0,0.9,76.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:57:57,baseball bat,右,General Practice,64,63,52,67.8,10.7,81,-22,96,83,-20,1.74,0.13,34.3,,,,126.5,77.8,5.2,-23.0,2559.44555664063,43.5,00:38:00,1.0,-3.0,54.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:53:30,baseball bat,右,General Practice,49,49,62,104.0,14.4,64,12,110,96,-25,3.74,0.14,32.2,,,,139,75.6,14.6,-2.0,3149.89282226563,83.9,11:52:00,1.0,5.1,59.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:53:20,baseball bat,右,General Practice,55,57,62,103.8,14.4,71,6,103,95,-37,4.02,0.13,34.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:53:10,baseball bat,右,General Practice,41,36,52,99.1,10.7,57,10,124,100,-18,3.35,0.14,30.9,,,,123.6,75.6,36.3,2.8,9.99999974737875e-06,89.9,00:00:00,0.5,6.8,50.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:52:59,baseball bat,右,General Practice,58,56,52,99.1,10.7,74,2,103,96,-38,3.55,0.14,31.9,,,,130.4,75.6,9.9,-9.6,2663.23754882813,49.5,09:56:00,1.0,7.1,85.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:52:40,baseball bat,右,General Practice,46,40,57,103.3,12.6,62,9,117,100,-25,3.8,0.14,32.2,,,,125.9,75.6,25.6,-7.4,1080.58447265625,83.6,11:36:00,1.0,7.5,37.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:52:29,baseball bat,右,General Practice,47,37,47,96.9,8.8,62,5,122,101,-27,3.44,0.13,31.5,,,,138.1,77.8,7.1,11.6,2698.29907226563,57.1,00:46:00,1.0,-0.6,77.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:52:06,baseball bat,右,General Practice,43,38,57,105.1,12.4,58,10,120,102,-29,3.89,0.14,33.8,,,,132.9,76.1,-2.4,15.5,939.890197753906,10.6,06:22:00,1.0,26.7,91.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:51:46,baseball bat,右,General Practice,52,43,51,101.7,10.4,68,3,114,101,-36,3.8,0.13,33.2,,,,119.8,76.1,12.8,-26.7,9.99999974737875e-06,45.7,00:00:00,0.5,44.5,88.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:51:36,baseball bat,右,General Practice,39,33,57,98.7,12.7,54,5,127,104,-22,3.42,0.14,31.4,,,,112.2,77.8,30.2,15.4,3157.4912109375,76.5,11:10:00,1.0,8.1,56.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:51:25,baseball bat,右,General Practice,54,43,56,97.4,12.3,70,7,114,99,-25,3.48,0.13,31.9,,,,129.4,77.8,20.9,14.0,2145.88232421875,87.7,11:50:00,1.0,43.1,61.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:51:15,baseball bat,右,General Practice,41,34,58,104.0,13.1,56,9,127,103,-21,3.75,0.14,33.2,,,,125.6,77.8,24.9,-0.7,9.99999974737875e-06,86.8,00:00:00,0.5,10.7,76.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:51:05,baseball bat,右,General Practice,49,40,53,101.5,11.0,65,7,118,100,-28,3.63,0.14,32.5,,,,129,77.8,10.6,29.1,2101.08813476563,39.3,02:48:00,1.0,30.6,90.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:50:53,baseball bat,右,General Practice,44,35,52,101.2,10.7,59,10,125,102,-21,3.51,0.14,31.5,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:50:43,baseball bat,右,General Practice,54,39,52,97.4,10.7,70,3,120,100,-26,3.54,0.13,32.8,,,,136.8,77.8,11.5,4.4,1992.20629882813,72.6,11:16:00,1.0,24.6,84.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:50:34,baseball bat,右,General Practice,51,46,56,102.0,12.3,66,12,112,98,-27,3.46,0.15,32.8,,,,129.5,77.8,1.8,-6.9,2405.24609375,22.6,09:28:00,1.0,23.0,88.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:50:25,baseball bat,右,General Practice,23,20,42,100.7,6.9,37,37,41,40,-16,4.16,0.12,25.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,209.9,468.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:50:06,baseball bat,左,General Practice,34,48,57,89.3,12.4,49,11,108,98,-38,2.65,0.15,30.3,,,,71.4,75.6,40.7,-41.9,1016.28869628906,38.2,01:00:00,1.0,32.8,92.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:49:57,baseball bat,左,General Practice,33,54,48,83.5,9.2,48,12,106,94,-36,2.12,0.16,28.0,,,,130.6,75.6,16.7,0.7,2768.56640625,83.3,00:00:00,1.0,17.3,97.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:49:47,baseball bat,左,General Practice,38,58,47,88.4,8.7,53,9,100,97,-44,2.4,0.16,29.8,,,,108.7,77.8,37.6,-48.2,9.99999974737875e-06,67.5,00:00:00,0.5,44.1,108.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:49:36,baseball bat,左,General Practice,29,56,58,88.5,12.8,44,8,105,93,-33,2.57,0.15,28.6,,,,125.6,77.8,24.2,-3.2,3283.07202148438,80.4,10:34:00,1.0,15.8,65.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:49:26,baseball bat,左,General Practice,31,45,60,97.5,13.8,46,10,116,95,-35,3.34,0.14,30.4,,,,130.3,77.8,5.6,-1.0,1092.70776367188,33.1,09:32:00,1.0,20.4,80.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:49:15,baseball bat,左,General Practice,32,45,49,91.4,9.6,46,13,113,97,-36,2.64,0.16,28.8,,,,135.1,75.6,22.0,-24.5,1974.41186523438,81.8,10:48:00,1.0,28.3,111.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:49:04,baseball bat,左,General Practice,29,49,45,82.7,8.2,43,12,113,91,-30,2.11,0.16,25.7,,,,139.2,75.6,9.2,26.1,661.569030761719,55.5,11:10:00,1.0,40.0,80.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:48:35,baseball bat,左,General Practice,28,44,53,92.1,10.9,42,15,115,98,-38,2.71,0.15,30.1,,,,131.7,73.2,6.8,2.4,645.239624023438,37.9,09:32:00,1.0,23.1,99.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:48:25,baseball bat,左,General Practice,31,48,52,88.7,10.6,45,21,114,89,-27,2.42,0.16,28.3,,,,129.2,75.2,8.4,-9.9,1473.32348632813,43.4,10:00:00,1.0,24.0,78.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:48:15,baseball bat,左,General Practice,41,53,51,90.8,10.2,56,7,104,97,-43,2.67,0.15,30.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,77.0,89.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:48:04,baseball bat,左,General Practice,34,52,54,100.3,11.3,48,18,109,92,-34,3.17,0.16,29.9,,,,53.4,79.0,10.2,-7.4,1198.36572265625,12.9,10:42:00,1.0,-43.5,109.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:47:53,baseball bat,左,General Practice,28,36,56,95.3,12.3,42,10,122,102,-40,3.06,0.15,31.7,,,,55.4,79.0,13.4,-12.4,305.548095703125,14.3,11:22:00,1.0,-63.3,97.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:47:43,baseball bat,左,General Practice,36,53,58,92.9,13.0,50,9,108,94,-40,2.87,0.15,29.9,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,-39.6,110.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:47:33,baseball bat,左,General Practice,36,52,60,96.6,13.7,50,10,106,96,-44,3.11,0.15,31.5,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,-49.2,100.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:47:23,baseball bat,左,General Practice,30,48,60,94.8,13.5,44,7,110,97,-39,3.12,0.14,31.9,,,,61.6,79.0,4.7,-5.4,811.502746582031,14.5,11:10:00,1.0,-18.9,186.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:47:13,baseball bat,左,General Practice,35,55,42,83.7,7.0,49,9,104,95,-36,2.13,0.16,27.4,,,,53.9,79.0,11.3,-5.5,1487.8330078125,13.8,11:24:00,1.0,-42.5,115.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:47:03,baseball bat,左,General Practice,40,49,57,95.0,12.5,56,8,110,95,-39,2.96,0.15,30.4,,,,57.9,79.0,5.8,-8.6,2028.88989257813,13.1,09:54:00,1.0,-45.4,201.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:46:54,baseball bat,左,General Practice,33,47,59,94.6,13.4,48,7,111,96,-38,3.11,0.14,31.5,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:46:35,baseball bat,左,General Practice,37,51,49,85.3,9.7,51,3,108,95,-37,2.33,0.15,27.8,,,,115.3,78.5,9.8,-20.6,9.99999974737875e-06,36.9,00:00:00,0.5,11.5,76.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:46:07,baseball bat,左,General Practice,46,53,64,105.7,15.3,61,11,107,86,-25,3.93,0.14,33.5,,,,126.6,78.5,18.7,-15.1,1302.45275878906,73.1,11:02:00,1.0,15.0,53.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:45:57,baseball bat,左,General Practice,48,57,59,104.1,13.4,64,4,103,85,-35,3.75,0.14,32.7,,,,133.1,77.8,23.5,8.3,1430.56420898438,91.0,10:56:00,1.0,13.8,62.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:45:46,baseball bat,左,General Practice,50,56,65,105.4,15.8,65,5,106,88,-29,4.02,0.14,33.3,,,,143.2,79.9,-1.4,14.1,1095.94421386719,13.3,05:32:00,1.0,61.8,103.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:45:35,baseball bat,左,General Practice,40,52,59,98.2,13.5,55,4,109,93,-36,3.3,0.14,33.2,,,,101.6,79.9,14.7,13.4,2795.13110351563,38.0,02:40:00,1.0,-47.5,31.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:45:13,baseball bat,左,General Practice,41,55,59,101.2,13.5,56,9,107,92,-36,3.5,0.14,32.7,,,,116.5,77.8,16.9,19.5,664.89453125,55.9,00:56:00,1.0,0.9,102.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:45:03,baseball bat,左,General Practice,44,51,62,102.4,14.6,60,3,110,94,-32,3.68,0.14,33.6,,,,130.1,79.9,16.2,-0.3,1766.29479980469,79.7,00:00:00,1.0,12.3,76.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:44:41,baseball bat,左,General Practice,50,63,66,105.1,15.9,66,7,99,86,-32,3.94,0.14,34.0,,,,115.8,79.9,15.0,-21.6,1955.88391113281,49.8,10:14:00,1.0,11.6,64.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:44:30,baseball bat,左,General Practice,38,45,59,99.9,13.2,53,8,116,95,-25,3.33,0.15,31.5,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:44:09,baseball bat,左,General Practice,42,55,60,102.4,13.7,57,11,107,87,-24,3.58,0.14,33.2,,,,129.2,79.9,11.7,22.9,1808.84460449219,43.1,02:56:00,1.0,16.2,31.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:43:59,baseball bat,左,General Practice,36,48,62,101.4,14.4,50,6,112,95,-34,3.47,0.15,32.2,,,,128.8,77.8,19.4,6.2,1534.75366210938,81.8,00:08:00,1.0,6.7,69.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:43:48,baseball bat,左,General Practice,40,51,64,104.8,15.1,55,6,110,94,-31,3.75,0.14,33.6,,,,119.3,79.9,15.0,8.0,2371.681640625,68.4,00:16:00,1.0,0.3,74.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:43:29,baseball bat,左,General Practice,46,60,68,104.8,16.7,62,0,103,93,-43,3.91,0.14,34.6,,,,132.1,79.9,14.3,-3.3,9.99999974737875e-06,62.4,00:00:00,0.5,6.4,83.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:42:59,baseball bat,右,General Practice,51,73,50,98.7,9.8,67,9,92,84,-22,2.99,0.16,30.3,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,16.4,122.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:42:48,baseball bat,右,General Practice,54,69,40,98.2,6.3,70,10,93,83,-25,2.97,0.16,30.4,,,,100.6,79.9,36.4,-16.8,995.906860351563,63.5,00:16:00,1.0,-4.9,49.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:42:36,baseball bat,右,General Practice,41,66,37,93.7,5.2,56,11,98,87,-18,2.54,0.17,29.0,,,,128.3,77.8,23.1,4.6,1934.53198242188,76.8,11:06:00,1.0,2.6,67.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:42:13,baseball bat,右,General Practice,60,65,65,102.4,15.7,76,10,87,81,-26,3.34,0.15,31.5,,,,138.9,77.8,3.5,-8.7,1167.79626464844,30.1,09:38:00,1.0,8.5,95.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:42:02,baseball bat,右,General Practice,52,67,58,101.1,12.9,68,11,91,82,-23,3.27,0.15,31.1,,,,114.2,79.4,30.2,23.9,1867.25549316406,69.1,01:44:00,1.0,37.1,69.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:41:50,baseball bat,右,General Practice,51,64,55,101.5,12.0,67,10,90,80,-25,3.21,0.16,30.3,,,,59.8,79.9,44.2,60.0,1253.31811523438,27.2,09:56:00,1.0,30.7,105.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:41:39,baseball bat,右,General Practice,51,62,39,98.5,5.9,67,16,95,81,-14,2.88,0.17,29.3,,,,119.4,77.8,-5.5,-10.1,143.657379150391,9.1,05:40:00,1.0,12.6,108.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:41:16,baseball bat,右,General Practice,42,65,31,91.4,2.6,57,8,99,87,-21,2.42,0.17,27.7,,,,135.2,79.9,18.4,-10.8,1076.13940429688,79.8,01:34:00,1.0,-18.9,52.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:41:05,baseball bat,右,General Practice,56,62,56,101.9,12.2,72,10,89,79,-22,3.11,0.16,30.1,,,,124.5,79.9,41.3,1.3,2682.85717773438,80.9,01:12:00,1.0,6.8,40.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:40:42,baseball bat,右,General Practice,59,58,46,103.5,8.5,75,9,85,78,-29,3.21,0.16,31.9,,,,131.9,79.0,18.6,18.2,1607.39367675781,85.5,11:20:00,1.0,-16.1,75.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:40:30,baseball bat,右,General Practice,62,50,52,97.5,10.7,79,5,79,76,-31,2.89,0.16,30.4,,,,135,77.8,19.1,12.9,9.99999974737875e-06,84.2,00:00:00,0.5,-7.8,92.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:40:19,baseball bat,右,General Practice,44,74,43,97.5,7.4,59,8,93,85,-24,3.0,0.16,29.9,,,,127.4,77.8,20.3,10.7,868.99951171875,78.5,00:22:00,1.0,-15.6,74.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:40:09,baseball bat,右,General Practice,58,53,62,100.6,14.6,74,9,82,76,-23,3.0,0.17,30.6,,,,143.9,79.0,4.2,-11.3,1602.65197753906,47.1,00:02:00,1.0,-25.5,73.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:39:58,baseball bat,右,General Practice,50,63,40,96.9,6.3,66,8,86,81,-25,2.86,0.16,30.1,,,,141.7,79.0,15.1,-0.5,2136.59252929688,73.8,11:58:00,1.0,-8.8,76.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:39:48,baseball bat,右,General Practice,59,49,56,96.2,12.1,75,1,77,78,-29,2.93,0.16,30.6,,,,124.1,79.9,21.2,3.5,1474.84899902344,73.0,01:52:00,1.0,-7.2,48.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:31:51,baseball bat,右,General Practice,46,33,45,113.1,7.9,61,1,133,82,-7,4.37,0.14,33.0,,,,144.9,60.9,34.6,-29.6,1742.76123046875,101.3,11:42:00,1.0,-15.1,46.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:31:33,baseball bat,右,General Practice,45,37,40,112.7,6.0,61,5,122,78,-17,4.28,0.15,35.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:31:22,baseball bat,右,General Practice,48,43,47,112.5,8.9,63,7,113,79,-20,4.16,0.15,36.5,,,,143.6,78.3,6.8,-3.5,1552.6962890625,48.9,01:56:00,1.0,-23.5,73.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:31:03,baseball bat,右,General Practice,51,41,48,113.9,9.3,67,2,116,79,-14,4.51,0.14,33.0,,,,144,79.9,2.5,5.9,787.5634765625,29.1,00:40:00,1.0,-9.4,76.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:30:54,baseball bat,右,General Practice,56,45,49,113.5,9.7,73,1,107,77,-19,4.46,0.14,35.6,,,,125.6,77.8,15.4,-15.8,1337.22924804688,58.5,02:58:00,1.0,10.3,109.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:30:44,baseball bat,右,General Practice,45,40,48,112.7,9.4,60,4,115,77,-3,4.11,0.15,29.8,,,,143.3,77.8,25.5,-17.9,2932.4619140625,87.1,01:18:00,1.0,-23.5,68.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:30:25,baseball bat,右,General Practice,48,42,51,111.8,10.2,64,1,114,80,-14,4.28,0.14,33.0,,,,146.2,79.9,10.4,-2.5,9.99999974737875e-06,63.1,00:00:00,0.5,-8.3,61.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:30:16,baseball bat,右,General Practice,44,42,41,115.4,6.7,60,5,114,78,-17,4.49,0.15,34.0,,,,141.7,77.8,14.3,-16.3,1401.4296875,78.1,11:38:00,1.0,-8.2,117.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:30:07,baseball bat,右,General Practice,47,44,46,115.2,8.5,63,2,106,75,-17,4.61,0.14,32.5,,,,128.2,77.8,20.8,-3.4,1662.00903320313,80.6,11:20:00,1.0,8.5,56.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
2025年 2月 4日 火曜日 12:29:48,baseball bat,右,General Practice,51,46,46,109.0,8.4,67,3,105,75,-18,4.06,0.14,32.0,,,,124.4,77.8,28.3,12.7,1513.68359375,80.2,00:14:00,1.0,35.4,74.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-12-09
